,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,development_d,log_litterclutch_size_n,log_birthhatching_weight_g,log_weaning_weight_g,log_male_body_mass_g,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.6_GR_MinLong_dd,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,log_HomeRange_km2,log_HuPopDen_Mean_n.km2,log_NeonateHeadBodyLen_mm,Cingulata,Didelphimorphia,Erinaceomorpha,Perissodactyla,Pholidota,Primates,Rodentia,Soricomorpha,AA_83_Y,AA_30_negative
28,0.0,1.0,1.0,1.0,0.0,0.6363992106064265,0.8451865987378704,0.011278184210526315,0.7584656031746031,0.6816975250457225,0.9713289566575688,0.009110877031836577,0.8876131190445631,0.9276745985109741,0.9493294935650745,0.9413997397430474,0.0,1.0,0.20625,0.08,1.0,0.4215140914158369,0.5625220750643515,0.6001411967252128,0.5872658827003212,0.7251037096642307,0.4769208950106225,0.7314891375999168,0.2266157422578544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,1.0,0.0,1.0,1.0,0.0,0.06875702003925974,0.13057885269969863,0.21052631578947367,0.3111111111111111,0.3139317026624008,0.4109276069663633,0.2510549417718642,0.6806343873838876,0.6906083468861909,0.6670245603136801,0.7409553626196406,0.22589473684210523,0.4048823352908397,0.01953125,0.2,0.0,0.8240785449863188,0.36828859060402686,0.1512322858903265,0.29537473233404715,0.5503949447077409,0.4054973358762116,0.6117579313589019,0.48619572386547083,0.7710824681587417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32,1.0,0.0,0.0,0.0,1.0,0.7353492069323873,0.6954249698344881,0.07236842105263157,0.6031746031746031,0.10453400616303911,0.4783121077529421,0.009110877031836577,0.5512776329052944,0.4284943804722081,0.5201945886486538,0.20833607465329684,0.3376315789473684,0.4902053238458571,0.01796875,0.28,0.5,0.274826975696121,0.4779781879194631,0.8829328404189771,0.8583725910064239,0.8998736176935229,0.9479693019536908,0.42005995987815936,1.0,0.5076138826156756,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
31,1.0,0.0,1.0,0.0,0.0,0.08629298603248824,0.07027708091353913,0.4593700367385842,0.13246745885143174,0.016768021492782597,0.21215309725328055,0.08997055384278126,0.3243464513931183,0.1820681274799435,0.1650488732785062,0.6355025741620974,0.26068421052631574,0.20619157263401777,0.090625,0.26,1.0,0.5927088363109607,0.5700503355704698,0.7944547134935304,0.5647537473233404,0.7344391785150078,0.5998767883709195,0.4282707231910231,0.7453660059790905,0.30676793939736335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
43,1.0,0.0,1.0,0.0,0.0,0.18584077763664805,0.27708122751190767,0.21052631578947367,0.06468253968253969,0.09649292876588225,0.26537346593495914,0.009110877031836577,0.5668050236148146,0.4084256314743022,0.5072864525201279,0.5762190362015778,0.2976842105263158,0.20616472139527411,0.196875,0.0,1.0,0.5008047642040881,0.46287751677852346,0.8447011706715957,0.8337473233404711,0.9281200631911533,0.8312000681596247,0.38667695362835486,0.6901258475219526,0.31900163012169047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,0.0,1.0,1.0,1.0,1.0,0.4366353043679078,0.8000693289849857,0.03421052631578947,0.5121693174603174,0.7817562249107217,0.8841754153858127,0.01804132874641082,0.8584085367617691,0.934333414615084,0.9493294935650745,0.7054671085340587,0.0,0.8182090959749668,0.140625,0.08,1.0,0.4348337652998471,0.5560711830526801,0.6001411967252128,0.5895110498799787,0.7234373978274471,0.4707519488191535,0.7080688426763815,0.21419103249740964,0.915640819621596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,1.0,0.0,1.0,0.0,0.0,0.42772767044336474,0.07145091235462987,0.1829998161260405,0.619047619047619,0.010132038594614267,0.1806963587437557,0.18152756447853546,0.24712240125111107,0.09119044397183258,0.044280665444135864,0.6840260784958854,0.11331578947368419,0.20765988185411935,0.0,0.5,1.0,0.8583615000804763,0.9344588926174496,0.5252926678989525,0.1454389721627409,0.2828436018957346,0.16899654614209972,0.5119810431825299,0.5971285436533298,0.3068172328101487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61,1.0,0.0,1.0,0.0,0.0,0.1195912964065133,0.08359886341534117,0.24597619455450265,0.18500307592304602,0.05938694362332056,0.23020736566263728,0.25040290267602805,0.3883894413528891,0.29101162072068576,0.32586242175329877,0.5074644026855883,0.16299999999999998,0.2063406886448905,0.003125,0.25999999999999995,1.0,0.4381169689397883,0.5475229186276993,0.6001411967252128,0.5894275667657729,0.7238360767622434,0.4730616820689999,0.4746960564936741,0.25021394447368367,0.3011314913306824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1.0,0.0,0.0,0.0,1.0,0.3337759675844767,0.3640555270797372,0.21052631578947367,0.3968253968253968,0.1293720007898125,0.3382288360303069,0.011360123961175108,0.5806287728185029,0.45919490731439205,0.5676851424073919,0.39657677255951396,0.2901052631578947,0.3270607398516868,0.53125,0.24000000000000005,0.3,0.4195235795911797,0.6024538590604027,0.508102279728897,0.74779443254818,0.9548183254344391,0.7345248160017827,0.585692532581515,0.6055277501716105,0.507768689451598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
49,1.0,0.0,1.0,0.0,0.0,0.16256049043175214,0.04814645954129254,0.21052631578947367,0.19047619047619047,0.00178690608825708,0.21913581962611106,0.006850355634704526,0.28060226809031913,0.09021349018448578,0.06823793652370735,0.6204523594602109,0.26068421052631574,0.24518839212996701,0.0,0.25999999999999995,1.0,0.43440988484193943,0.5491232263209901,0.6001411967252128,0.5922693130663383,0.7224953221297757,0.466984720170848,0.34542433322117894,0.28137877429207825,0.16169953088782263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
